"Alphabet","timestamp","user_id","flex_1","flex_2","flex_3","flex_4","flex_5","Qw","Qx","Qy","Qz","GYRx","GYRy","GYRz","ACCx","ACCy","ACCz","ACCx_body","ACCy_body","ACCz_body","ACCx_world","ACCy_world","ACCz_world"
"S","1617446609.1873572","7","22","49","46","56","36","0.828674","0.047913","-0.555176","-0.052185","-0.007634","0.007634","-0.007634","8.761621","1.347021","3.497949","-0.205762","0","-0.215332","0.120825","0.0323","-0.269165"
"S","1617446609.1773016","7","22","49","44","54","35","0.828613","0.047852","-0.555298","-0.052063","-0.007634","0.007634","-0.015267","8.780762","1.311133","3.493164","-0.187817","-0.0323","-0.217725","0.129199","0","-0.258398"
"S","1617446609.1675007","7","22","48","46","57","32","0.828552","0.047729","-0.55542","-0.05188","-0.007634","0.007634","-0.015267","8.777173","1.288403","3.49436","-0.193799","-0.05144","-0.214136","0.123218","-0.019141","-0.26438"
"S","1617446609.1572149","7","22","49","46","54","39","0.828491","0.047668","-0.555542","-0.051758","-0.007634","0","-0.015267","8.76521","1.278833","3.497949","-0.206958","-0.058618","-0.208154","0.112451","-0.023926","-0.275146"
"S","1617446609.1471467","7","20","50","47","54","16","0.828491","0.047668","-0.555542","-0.051575","-0.015267","0","-0.007634","8.740088","1.274048","3.49436","-0.23208","-0.061011","-0.210547","0.105273","-0.022729","-0.300269"
"S","1617446609.137204","7","22","53","48","55","36","0.828491","0.047729","-0.555542","-0.051453","-0.015267","-0.007634","-0.007634","8.712573","1.270459","3.488379","-0.259595","-0.0646","-0.216528","0.099292","-0.022729","-0.327783"
"S","1617446609.1271503","7","21","51","48","56","34","0.828491","0.047974","-0.555542","-0.05127","-0.022901","-0.007634","-0.007634","8.703003","1.300366","3.476416","-0.269165","-0.035889","-0.228491","0.107666","0.005981","-0.337354"
"S","1617446609.1170824","7","22","52","46","56","36","0.828552","0.048218","-0.555542","-0.051086","-0.022901","0","-0.007634","8.698217","1.330273","3.469238","-0.275146","-0.008374","-0.235669","0.113647","0.034692","-0.342139"
"S","1617446609.107464","7","22","49","48","57","33","0.828491","0.048401","-0.555542","-0.050842","-0.015267","0","-0.007634","8.728125","1.329077","3.468042","-0.244043","-0.00957","-0.235669","0.12561","0.028711","-0.313428"
"S","1617446609.0971687","7","21","48","49","55","35","0.82843","0.048523","-0.555603","-0.050659","-0.007634","0.007634","-0.007634","8.758032","1.290796","3.456079","-0.214136","-0.047852","-0.246436","0.144751","-0.010767","-0.295483"
"S","1617446609.08721","7","21","49","48","57","36","0.828369","0.048462","-0.555725","-0.050598","0","0.007634","-0.007634","8.791529","1.252515","3.470435","-0.183032","-0.084937","-0.229687","0.139966","-0.052637","-0.265576"
"S","1617446609.077329","7","21","46","44","55","35","0.828308","0.048401","-0.555847","-0.050598","0","0.007634","-0.007634","8.810669","1.228589","3.491968","-0.165088","-0.107666","-0.205762","0.124414","-0.078955","-0.242847"
"S","1617446609.0673776","7","21","47","46","57","33","0.828308","0.04834","-0.555908","-0.050598","0","0","-0.007634","8.808276","1.214233","3.512305","-0.168677","-0.120825","-0.184229","0.102881","-0.090918","-0.240454"
"S","1617446609.0573125","7","21","47","45","56","33","0.828308","0.048401","-0.555908","-0.050598","-0.007634","-0.007634","-0.007634","8.799902","1.232178","3.552979","-0.177051","-0.104077","-0.143555","0.062207","-0.07417","-0.229687"
"S","1617446609.0473194","7","22","49","50","57","32","0.828369","0.048523","-0.555725","-0.050537","-0.015267","-0.022901","0","8.744873","1.272852","3.578101","-0.229687","-0.0646","-0.122021","0.023926","-0.028711","-0.26438"
"S","1617446609.0373583","7","20","49","45","54","33","0.828552","0.048828","-0.555481","-0.050476","-0.022901","-0.022901","0","8.708984","1.317114","3.593652","-0.263184","-0.025122","-0.111255","0.002393","0.013159","-0.285913"
"S","1617446609.0272565","7","22","50","47","57","38","0.828735","0.049133","-0.555237","-0.050354","-0.022901","-0.022901","0","8.70061","1.364966","3.622363","-0.269165","0.017944","-0.087329","-0.020337","0.056226","-0.276343"
"S","1617446609.017282","7","22","49","46","54","33","0.828857","0.049316","-0.554993","-0.050171","-0.015267","-0.015267","0","8.701807","1.381714","3.63313","-0.265576","0.034692","-0.081348","-0.023926","0.072974","-0.267969"
"S","1617446609.0074956","7","21","48","46","57","37","0.828918","0.049377","-0.554932","-0.050049","0","-0.007634","0","8.738892","1.348218","3.616382","-0.228491","0.001196","-0.099292","0.004785","0.034692","-0.246436"
"S","1617446608.9972482","7","21","47","48","57","36","0.828918","0.049255","-0.554932","-0.050049","0.007634","0","-0.007634","8.805883","1.2896","3.603223","-0.161499","-0.053833","-0.112451","0.040674","-0.027515","-0.197388"
"S","1617446608.9873643","7","21","48","46","56","33","0.828857","0.049072","-0.555054","-0.050171","0.007634","0.007634","-0.007634","8.863306","1.253711","3.592456","-0.105273","-0.088525","-0.122021","0.069385","-0.069385","-0.154321"
"S","1617446608.9771967","7","21","46","31","55","31","0.828796","0.04895","-0.555115","-0.050293","0.007634","0","0","8.892016","1.251318","3.593652","-0.076563","-0.090918","-0.118433","0.077759","-0.075366","-0.126807"
"S","1617446608.967381","7","22","45","46","57","33","0.828796","0.048889","-0.555115","-0.050415","0","-0.007634","0","8.875269","1.274048","3.60083","-0.093311","-0.068188","-0.111255","0.0646","-0.05144","-0.136377"
"S","1617446608.9573455","7","22","53","50","57","36","0.828857","0.04895","-0.554993","-0.050476","-0.007634","-0.015267","0","8.827417","1.317114","3.604419","-0.139966","-0.026318","-0.110059","0.047852","-0.003589","-0.172266"
"S","1617446608.9471607","7","22","48","45","57","33","0.828979","0.049133","-0.554749","-0.050537","-0.015267","-0.022901","0","8.787939","1.374536","3.598438","-0.175854","0.026318","-0.120825","0.045459","0.052637","-0.202173"
"S","1617446608.9372678","7","21","49","46","57","33","0.829163","0.049438","-0.554504","-0.050476","-0.015267","-0.022901","0","8.753247","1.437939","3.603223","-0.209351","0.084937","-0.122021","0.034692","0.11604","-0.226099"
"S","1617446608.9272926","7","22","51","46","52","31","0.829285","0.049622","-0.554321","-0.050415","-0.007634","-0.015267","0","8.737696","1.471436","3.605615","-0.22251","0.11604","-0.123218","0.0323","0.14834","-0.233276"
"S","1617446608.917352","7","21","51","47","57","33","0.829346","0.049622","-0.55426","-0.050354","0","0","0","8.749659","1.446314","3.603223","-0.210547","0.092114","-0.126807","0.039478","0.123218","-0.227295"
"S","1617446608.907195","7","20","51","47","52","36","0.829346","0.049438","-0.55426","-0.050415","0.007634","0.007634","-0.007634","8.785547","1.412817","3.596045","-0.174658","0.061011","-0.133984","0.058618","0.087329","-0.202173"
"S","1617446608.897352","7","21","49","48","57","37","0.829285","0.049255","-0.554382","-0.050537","0.007634","0","0","8.811865","1.402051","3.596045","-0.149536","0.05144","-0.132788","0.066992","0.07417","-0.179443"
"S","1617446608.88754","7","21","49","48","54","32","0.829224","0.049133","-0.554382","-0.050659","0","0","0","8.811865","1.414014","3.608008","-0.149536","0.0646","-0.119629","0.055029","0.087329","-0.172266"
"S","1617446608.8771129","7","21","49","46","57","33","0.829285","0.049133","-0.554382","-0.05072","-0.007634","-0.007634","0","8.792725","1.422388","3.617578","-0.168677","0.071777","-0.111255","0.040674","0.096899","-0.186621"
"S","1617446608.8674004","7","22","48","49","57","36","0.829346","0.049194","-0.55426","-0.05072","-0.007634","-0.015267","0","8.754443","1.423584","3.618774","-0.205762","0.071777","-0.112451","0.027515","0.101685","-0.220117"
"S","1617446608.8574755","7","21","49","47","56","33","0.829407","0.049255","-0.554138","-0.050659","-0.015267","-0.015267","0","8.73291","1.411621","3.603223","-0.226099","0.059814","-0.130396","0.035889","0.093311","-0.247632"
"S","1617446608.847268","7","19","49","47","56","35","0.829468","0.049316","-0.554016","-0.050537","-0.007634","-0.007634","-0.007634","8.758032","1.386499","3.590064","-0.19978","0.035889","-0.144751","0.058618","0.065796","-0.23208"
"S","1617446608.837279","7","22","48","47","56","31","0.829529","0.049255","-0.554016","-0.050354","-0.007634","-0.007634","-0.015267","8.779566","1.34104","3.570923","-0.178247","-0.005981","-0.165088","0.08374","0.022729","-0.226099"
"S","1617446608.827348","7","21","47","48","56","37","0.829529","0.049133","-0.554016","-0.050171","0","0","-0.015267","8.801099","1.288403","3.552979","-0.15791","-0.055029","-0.183032","0.10647","-0.027515","-0.221313"
"S","1617446608.8172815","7","22","52","48","56","37","0.829529","0.049072","-0.554077","-0.050049","-0.007634","0.007634","-0.015267","8.846558","1.269263","3.556567","-0.113647","-0.071777","-0.178247","0.118433","-0.050244","-0.18064"
"S","1617446608.807255","7","22","48","44","56","37","0.829468","0.049072","-0.554138","-0.049927","-0.007634","0.007634","-0.007634","8.872876","1.280029","3.572119","-0.087329","-0.059814","-0.161499","0.113647","-0.04187","-0.149536"
"S","1617446608.797332","7","20","52","46","57","36","0.829407","0.049133","-0.554199","-0.049866","-0.015267","0","-0.007634","8.857325","1.302759","3.593652","-0.102881","-0.037085","-0.137573","0.086133","-0.017944","-0.150732"
"S","1617446608.7872045","7","22","49","46","56","33","0.829407","0.049255","-0.554199","-0.049744","-0.015267","-0.007634","-0.007634","8.842969","1.319507","3.618774","-0.117236","-0.021533","-0.112451","0.058618","-0.001196","-0.151929"
"S","1617446608.7775257","7","22","47","49","55","36","0.829468","0.049377","-0.554138","-0.049622","-0.015267","-0.015267","0","8.80708","1.319507","3.631934","-0.153125","-0.021533","-0.100488","0.033496","0.001196","-0.18064"
"S","1617446608.7672057","7","22","49","46","55","35","0.82959","0.049622","-0.553955","-0.049561","-0.015267","-0.015267","0","8.771192","1.325488","3.630737","-0.187817","-0.019141","-0.105273","0.025122","0.00957","-0.214136"
"S","1617446608.7574146","7","20","49","49","54","35","0.829651","0.049805","-0.553772","-0.049438","-0.015267","-0.015267","0","8.79751","1.333862","3.629541","-0.159106","-0.011963","-0.110059","0.039478","0.011963","-0.189014"
"S","1617446608.7474637","7","21","49","47","54","36","0.829773","0.049927","-0.55365","-0.049377","-0.007634","-0.007634","0","8.822632","1.317114","3.618774","-0.132788","-0.029907","-0.123218","0.062207","-0.007178","-0.172266"
"S","1617446608.7372897","7","22","51","46","57","33","0.829834","0.049988","-0.553589","-0.049316","-0.007634","-0.007634","-0.007634","8.836987","1.294385","3.615185","-0.118433","-0.052637","-0.129199","0.071777","-0.031104","-0.163892"
"S","1617446608.7274723","7","22","47","48","57","35","0.829834","0.050049","-0.553528","-0.049316","-0.007634","-0.007634","-0.007634","8.850146","1.290796","3.639111","-0.104077","-0.057422","-0.105273","0.055029","-0.039478","-0.142358"
"S","1617446608.71745","7","20","49","47","55","35","0.829895","0.050171","-0.553406","-0.049255","-0.015267","-0.007634","-0.007634","8.828613","1.314722","3.675","-0.124414","-0.034692","-0.071777","0.016748","-0.014355","-0.144751"
"S","1617446608.7073665","7","21","49","48","54","33","0.830017","0.050293","-0.553284","-0.049133","-0.015267","-0.015267","-0.007634","8.810669","1.332666","3.720459","-0.141162","-0.017944","-0.028711","-0.027515","0.002393","-0.142358"
"S","1617446608.697255","7","20","51","48","56","37","0.830078","0.050415","-0.553162","-0.049011","-0.015267","-0.015267","-0.007634","8.798706","1.337451","3.761133","-0.151929","-0.013159","0.008374","-0.065796","0.007178","-0.136377"
"S","1617446608.688131","7","22","50","46","57","33","0.8302","0.050476","-0.55304","-0.048889","-0.007634","-0.015267","-0.007634","8.792725","1.309937","3.783862","-0.15791","-0.040674","0.027515","-0.086133","-0.019141","-0.13877"
"S","1617446608.677343","7","22","49","47","54","35","0.830261","0.050476","-0.552917","-0.048767","-0.007634","-0.015267","-0.007634","8.783154","1.286011","3.798218","-0.166284","-0.063403","0.039478","-0.101685","-0.040674","-0.144751"
"S","1617446608.6675315","7","21","49","45","56","36","0.830322","0.050476","-0.552856","-0.048767","-0.007634","-0.015267","0","8.778369","1.277637","3.780273","-0.169873","-0.071777","0.020337","-0.084937","-0.047852","-0.156714"
"S","1617446608.6573713","7","22","53","48","57","36","0.830383","0.050598","-0.552734","-0.048828","-0.007634","-0.015267","0","8.773584","1.284814","3.759937","-0.173462","-0.066992","-0.001196","-0.066992","-0.04187","-0.16748"
"S","1617446608.64734","7","22","51","47","57","36","0.830383","0.050781","-0.552673","-0.048828","-0.007634","-0.007634","0","8.781958","1.303955","3.732422","-0.163892","-0.05144","-0.028711","-0.037085","-0.027515","-0.16748"
"S","1617446608.637565","7","21","49","47","55","32","0.830383","0.050964","-0.552612","-0.048889","-0.015267","-0.007634","0","8.783154","1.337451","3.69773","-0.161499","-0.021533","-0.0646","-0.002393","0.002393","-0.174658"
"S","1617446608.627458","7","20","48","47","52","35","0.830383","0.051208","-0.552612","-0.048828","-0.015267","-0.007634","0","8.778369","1.372144","3.69773","-0.166284","0.00957","-0.0646","-0.003589","0.033496","-0.174658"
"S","1617446608.617498","7","22","49","47","56","33","0.830383","0.051392","-0.552612","-0.048767","-0.015267","0","-0.007634","8.769995","1.375732","3.694141","-0.174658","0.010767","-0.066992","-0.004785","0.035889","-0.183032"
"S","1617446608.6081057","7","21","46","46","36","36","0.830322","0.051453","-0.552734","-0.048645","-0.007634","0","-0.007634","8.789136","1.35061","3.695337","-0.156714","-0.013159","-0.063403","-0.001196","0.00957","-0.168677"
"S","1617446608.5974607","7","22","43","46","56","37","0.830261","0.051392","-0.552856","-0.048523","0","0.007634","-0.007634","8.827417","1.302759","3.702515","-0.119629","-0.058618","-0.053833","0.001196","-0.039478","-0.137573"
"S","1617446608.5875456","7","21","45","46","56","33","0.8302","0.05127","-0.552917","-0.048523","0","0","-0.007634","8.84895","1.260889","3.7073","-0.099292","-0.098096","-0.047852","0.003589","-0.081348","-0.122021"
"S","1617446608.5774777","7","21","49","46","55","33","0.8302","0.051147","-0.552979","-0.048523","0","-0.007634","-0.007634","8.84895","1.235767","3.706104","-0.099292","-0.122021","-0.049048","0.003589","-0.105273","-0.12561"
"S","1617446608.567293","7","21","51","47","57","37","0.8302","0.051147","-0.552979","-0.048523","0","-0.007634","0","8.840576","1.223804","3.685767","-0.107666","-0.133984","-0.069385","0.019141","-0.114844","-0.142358"
"S","1617446608.5575533","7","22","49","47","56","32","0.8302","0.051208","-0.552979","-0.048645","-0.007634","-0.007634","0","8.847754","1.244141","3.658252","-0.100488","-0.11604","-0.096899","0.047852","-0.096899","-0.144751"
"S","1617446608.548039","7","27","49","46","89","37","0.8302","0.051392","-0.552979","-0.048706","-0.015267","0","0","8.853735","1.291992","3.643897","-0.094507","-0.071777","-0.110059","0.063403","-0.053833","-0.137573"
"S","1617446608.5374498","7","21","48","46","56","31","0.8302","0.051636","-0.552917","-0.048767","-0.015267","0","0.007634","8.831006","1.345825","3.628345","-0.11604","-0.022729","-0.126807","0.071777","-0.002393","-0.156714"
"S","1617446608.5276923","7","20","48","44","55","36","0.830139","0.052002","-0.552979","-0.048767","-0.022901","0","0.007634","8.828613","1.423584","3.619971","-0.118433","0.047852","-0.132788","0.077759","0.066992","-0.151929"
"S","1617446608.5173614","7","22","49","46","56","36","0.830078","0.052307","-0.55304","-0.048767","-0.022901","0.007634","0.007634","8.833399","1.477417","3.616382","-0.113647","0.096899","-0.135181","0.082544","0.11604","-0.141162"
"S","1617446608.5072925","7","22","51","46","57","39","0.830017","0.05249","-0.553162","-0.048706","-0.007634","0.007634","0","8.850146","1.471436","3.615185","-0.098096","0.088525","-0.132788","0.086133","0.105273","-0.126807"
"S","1617446608.49735","7","19","47","47","57","35","0.829895","0.05249","-0.553284","-0.048767","0","0.015267","0","8.884839","1.437939","3.63313","-0.0646","0.055029","-0.112451","0.080151","0.066992","-0.093311"
"S","1617446608.4874864","7","21","49","47","55","36","0.829773","0.052429","-0.553467","-0.048828","0","0","0","8.876465","1.425977","3.677392","-0.07417","0.043066","-0.063403","0.031104","0.053833","-0.084937"
"S","1617446608.478012","7","22","49","47","57","36","0.829773","0.052429","-0.553406","-0.048889","0","-0.007634","0","8.799902","1.417603","3.686963","-0.149536","0.033496","-0.055029","-0.004785","0.055029","-0.151929"
"S","1617446608.468248","7","21","48","47","54","37","0.829895","0.05249","-0.553284","-0.04895","-0.007634","-0.015267","0","8.767603","1.433154","3.708496","-0.18064","0.047852","-0.037085","-0.033496","0.072974","-0.172266"
"S","1617446608.4581373","7","22","48","46","56","36","0.829956","0.052612","-0.553162","-0.04895","-0.007634","-0.015267","0","8.748462","1.453491","3.715674","-0.198584","0.065796","-0.0323","-0.044263","0.093311","-0.184229"
"S","1617446608.4473486","7","21","48","45","56","31","0.829956","0.052612","-0.553162","-0.048889","-0.007634","-0.007634","0","8.749659","1.441528","3.701318","-0.197388","0.055029","-0.046655","-0.031104","0.082544","-0.19021"
"S","1617446608.4381163","7","22","49","45","54","36","0.829956","0.052551","-0.553223","-0.048889","0","0","-0.007634","8.785547","1.40564","3.66543","-0.162695","0.020337","-0.081348","0.013159","0.045459","-0.175854"
"S","1617446608.4281137","7","21","48","45","57","37","0.829834","0.052368","-0.553345","-0.048889","0","0.007634","-0.007634","8.835791","1.369751","3.639111","-0.113647","-0.011963","-0.105273","0.052637","0.007178","-0.144751"
"S","1617446608.418017","7","22","49","48","57","35","0.829773","0.052307","-0.553528","-0.04895","0","0.007634","-0.007634","8.863306","1.362573","3.611597","-0.088525","-0.019141","-0.129199","0.084937","-0.002393","-0.132788"
"S","1617446608.4080305","7","22","49","47","56","35","0.829651","0.052246","-0.55365","-0.04895","-0.007634","0.007634","-0.007634","8.882446","1.367358","3.596045","-0.069385","-0.013159","-0.141162","0.102881","0.001196","-0.118433"
"S","1617446608.3982563","7","20","52","28","56","33","0.829529","0.052307","-0.553833","-0.048889","-0.007634","0.007634","-0.007634","8.880054","1.376929","3.59126","-0.07417","-0.003589","-0.142358","0.102881","0.010767","-0.122021"
"S","1617446608.3884006","7","22","48","47","56","35","0.829529","0.052368","-0.553894","-0.048828","-0.007634","0","-0.007634","8.851343","1.374536","3.574512","-0.104077","-0.005981","-0.15791","0.105273","0.013159","-0.155518"
"S","1617446608.3781233","7","20","51","48","55","33","0.829529","0.052429","-0.553833","-0.048767","-0.007634","-0.007634","0","8.834595","1.37334","3.561352","-0.119629","-0.008374","-0.172266","0.112451","0.013159","-0.175854"
"S","1617446608.3682692","7","22","49","48","57","33","0.829529","0.05249","-0.553833","-0.048706","-0.007634","-0.007634","-0.007634","8.829809","1.375732","3.55896","-0.124414","-0.005981","-0.174658","0.113647","0.016748","-0.18064"
"S","1617446608.358211","7","22","52","48","56","33","0.82959","0.052551","-0.553772","-0.048645","0","-0.007634","0","8.823828","1.364966","3.550586","-0.129199","-0.016748","-0.184229","0.119629","0.007178","-0.19021"
"S","1617446608.348054","7","19","48","46","55","36","0.829651","0.052551","-0.55365","-0.048645","0","-0.007634","0","8.828613","1.372144","3.561352","-0.123218","-0.00957","-0.175854","0.114844","0.013159","-0.18064"
"S","1617446608.3380404","7","22","48","47","56","36","0.829712","0.052612","-0.553589","-0.048706","-0.007634","-0.007634","0","8.822632","1.400854","3.587671","-0.129199","0.016748","-0.150732","0.089722","0.039478","-0.172266"
"S","1617446608.3281252","7","21","49","42","55","37","0.829773","0.052612","-0.553467","-0.048706","-0.007634","-0.007634","0","8.792725","1.425977","3.623559","-0.15791","0.04187","-0.117236","0.047852","0.066992","-0.183032"
"S","1617446608.318115","7","20","49","46","53","37","0.829834","0.052673","-0.553406","-0.048767","-0.007634","-0.007634","0","8.771192","1.442725","3.643897","-0.179443","0.056226","-0.099292","0.023926","0.08374","-0.193799"
"S","1617446608.3083117","7","22","48","46","51","36","0.829895","0.052734","-0.553284","-0.048706","-0.007634","-0.007634","0","8.758032","1.451099","3.66543","-0.19021","0.0646","-0.078955","0.001196","0.092114","-0.193799"
"S","1617446608.2983985","7","21","52","48","56","28","0.829895","0.052673","-0.553284","-0.048645","-0.007634","-0.007634","-0.007634","8.75205","1.439136","3.682178","-0.197388","0.053833","-0.062207","-0.016748","0.082544","-0.196191"
"S","1617446608.2883048","7","22","49","47","57","37","0.829895","0.052612","-0.553284","-0.048584","0","-0.007634","-0.007634","8.738892","1.403247","3.677392","-0.210547","0.020337","-0.066992","-0.017944","0.05144","-0.214136"
"S","1617446608.278313","7","21","47","47","56","35","0.829895","0.05249","-0.553284","-0.048462","0","0","-0.007634","8.753247","1.369751","3.663037","-0.196191","-0.00957","-0.081348","0","0.020337","-0.210547"
"S","1617446608.268201","7","21","28","47","55","33","0.829895","0.052368","-0.553345","-0.048401","0","0","-0.007634","8.777173","1.347021","3.647485","-0.173462","-0.028711","-0.096899","0.021533","-0.001196","-0.198584"
"S","1617446608.25821","7","20","50","46","57","36","0.829895","0.052368","-0.553345","-0.04834","-0.007634","-0.007634","-0.007634","8.778369","1.342236","3.627148","-0.172266","-0.033496","-0.117236","0.040674","-0.004785","-0.205762"
"S","1617446608.2482266","7","21","51","47","56","34","0.829895","0.052429","-0.553345","-0.048218","-0.015267","-0.007634","-0.007634","8.786743","1.354199","3.619971","-0.163892","-0.021533","-0.124414","0.05144","0.004785","-0.19978"
"S","1617446608.2382672","7","21","49","44","52","36","0.829895","0.052551","-0.553345","-0.048096","-0.015267","-0.007634","-0.007634","8.793921","1.364966","3.622363","-0.156714","-0.010767","-0.122021","0.05144","0.014355","-0.19021"
"S","1617446608.2282884","7","21","50","46","54","32","0.829895","0.052673","-0.553284","-0.047913","-0.007634","0","-0.007634","8.801099","1.360181","3.618774","-0.14834","-0.015552","-0.12561","0.058618","0.008374","-0.185425"
"S","1617446608.2181995","7","22","49","45","84","39","0.829895","0.052612","-0.553345","-0.047791","0","0","-0.007634","8.815454","1.330273","3.618774","-0.135181","-0.043066","-0.124414","0.061011","-0.019141","-0.175854"
"S","1617446608.208254","7","20","52","48","50","56","0.829895","0.052551","-0.553406","-0.047791","0","0","-0.007634","8.834595","1.290796","3.631934","-0.117236","-0.081348","-0.111255","0.055029","-0.059814","-0.160303"
"S","1617446608.1982677","7","22","48","46","56","35","0.829834","0.052368","-0.553406","-0.047729","0.007634","0","-0.007634","8.842969","1.264477","3.645093","-0.108862","-0.104077","-0.096899","0.045459","-0.08374","-0.150732"
"S","1617446608.1883152","7","21","51","48","57","37","0.829834","0.052246","-0.553467","-0.047791","0","0","-0.007634","8.850146","1.244141","3.653467","-0.102881","-0.123218","-0.088525","0.039478","-0.104077","-0.144751"
"S","1617446608.1781948","7","22","48","44","56","33","0.829834","0.052185","-0.553467","-0.047791","0","-0.007634","-0.007634","8.850146","1.260889","3.673804","-0.102881","-0.105273","-0.068188","0.020337","-0.087329","-0.133984"
"S","1617446608.1683","7","22","52","46","58","34","0.829895","0.052246","-0.553406","-0.047791","-0.007634","-0.015267","0","8.817846","1.303955","3.683374","-0.133984","-0.063403","-0.059814","0.002393","-0.04187","-0.153125"
"S","1617446608.1580403","7","22","49","47","57","36","0.829956","0.052429","-0.553223","-0.047729","-0.015267","-0.015267","0","8.766406","1.360181","3.673804","-0.183032","-0.00957","-0.071777","-0.003589","0.017944","-0.194995"
"S","1617446608.148244","7","22","49","47","57","36","0.830078","0.052673","-0.55304","-0.047668","-0.015267","-0.015267","0","8.738892","1.404443","3.663037","-0.209351","0.029907","-0.086133","0","0.061011","-0.218921"
"S","1617446608.1381176","7","22","51","48","57","36","0.830139","0.052856","-0.552979","-0.047607","-0.007634","-0.007634","0","8.754443","1.427173","3.669019","-0.192603","0.050244","-0.082544","0.002393","0.078955","-0.19978"
"S","1617446608.1281402","7","22","51","48","57","35","0.830139","0.052917","-0.552917","-0.047546","0","0","0","8.772388","1.406836","3.663037","-0.174658","0.029907","-0.088525","0.014355","0.056226","-0.189014"
"S","1617446608.1182566","7","21","49","48","56","36","0.830139","0.052795","-0.552979","-0.047546","0.007634","0.007634","-0.007634","8.799902","1.366162","3.663037","-0.147144","-0.007178","-0.088525","0.023926","0.015552","-0.168677"
"S","1617446608.1082897","7","21","51","48","56","35","0.830078","0.052612","-0.553101","-0.047607","0.007634","0.007634","-0.007634","8.815454","1.339844","3.670215","-0.133984","-0.031104","-0.078955","0.020337","-0.00957","-0.156714"
"S","1617446608.098439","7","21","48","47","57","36","0.830017","0.052429","-0.553223","-0.047668","0","0.007634","-0.007634","8.838183","1.330273","3.700122","-0.112451","-0.039478","-0.046655","0","-0.021533","-0.12561"
"S","1617446608.088271","7","22","48","46","57","38","0.829956","0.052307","-0.553284","-0.047729","0","-0.007634","-0.007634","8.831006","1.339844","3.728833","-0.119629","-0.027515","-0.016748","-0.029907","-0.00957","-0.118433"
"S","1617446608.0782597","7","22","49","47","57","36","0.830017","0.052307","-0.553223","-0.047668","-0.007634","-0.015267","-0.007634","8.789136","1.344629","3.738403","-0.161499","-0.022729","-0.008374","-0.053833","0","-0.153125"
"S","1617446608.0681655","7","21","48","44","54","35","0.830139","0.052429","-0.55304","-0.047607","-0.015267","-0.022901","0","8.754443","1.358984","3.730029","-0.193799","-0.00957","-0.020337","-0.055029","0.016748","-0.185425"
"S","1617446608.0582552","7","21","48","48","57","35","0.830261","0.052551","-0.552856","-0.047546","-0.015267","-0.015267","0","8.737696","1.372144","3.72644","-0.209351","0.001196","-0.028711","-0.053833","0.029907","-0.200977"
"S","1617446608.0484","7","21","49","46","57","-6","0.830322","0.052612","-0.552734","-0.047424","-0.007634","-0.007634","-0.007634","8.729321","1.364966","3.708496","-0.216528","-0.004785","-0.047852","-0.038281","0.026318","-0.216528"
"S","1617446608.0382726","7","21","48","47","55","29","0.830322","0.05249","-0.552795","-0.047363","0.007634","0.007634","-0.007634","8.760425","1.323096","3.676196","-0.186621","-0.044263","-0.080151","0.001196","-0.014355","-0.206958"
"S","1617446608.028277","7","21","49","45","53","35","0.8302","0.052246","-0.552979","-0.047363","0.007634","0.015267","-0.015267","8.81665","1.294385","3.653467","-0.132788","-0.068188","-0.099292","0.038281","-0.045459","-0.168677"
"S","1617446608.0182142","7","20","50","47","55","35","0.830017","0.052063","-0.553284","-0.047424","0.007634","0.015267","-0.007634","8.838183","1.295581","3.616382","-0.113647","-0.0646","-0.130396","0.075366","-0.043066","-0.161499"
"S","1617446608.0082145","7","21","52","47","57","36","0.829834","0.051941","-0.553528","-0.047485","0","0.015267","-0.007634","8.841772","1.307544","3.582886","-0.112451","-0.05144","-0.15791","0.101685","-0.029907","-0.169873"
"S","1617446607.998617","7","22","49","46","55","37","0.829712","0.051941","-0.55365","-0.047485","-0.007634","0.007634","0","8.835791","1.336255","3.552979","-0.118433","-0.022729","-0.184229","0.123218","0","-0.18064"
"S","1617446607.9884737","7","22","52","47","55","35","0.829651","0.052063","-0.553772","-0.047485","-0.015267","0.007634","0","8.817846","1.374536","3.529053","-0.137573","0.011963","-0.205762","0.137573","0.037085","-0.202173"
"S","1617446607.978253","7","22","40","47","55","35","0.82959","0.052246","-0.553894","-0.047363","-0.015267","0","0","8.80708","1.410425","3.524268","-0.149536","0.046655","-0.208154","0.135181","0.072974","-0.209351"
"S","1617446607.9683683","7","21","48","47","57","33","0.82959","0.052368","-0.553894","-0.047302","-0.007634","0","-0.007634","8.805883","1.391284","3.499146","-0.150732","0.025122","-0.233276","0.15791","0.052637","-0.22251"
"S","1617446607.9582217","7","22","49","48","57","35","0.82959","0.052246","-0.553894","-0.047241","0.007634","0","-0.007634","8.811865","1.34104","3.495557","-0.145947","-0.020337","-0.236865","0.161499","0.007178","-0.226099"
"S","1617446607.948481","7","22","49","48","57","33","0.82959","0.052063","-0.553894","-0.047302","0.007634","0.007634","-0.007634","8.821436","1.306348","3.507519","-0.136377","-0.052637","-0.224902","0.154321","-0.025122","-0.216528"
"S","1617446607.938388","7","22","52","46","57","36","0.82959","0.051819","-0.553955","-0.047363","0.007634","0","-0.007634","8.833399","1.29917","3.542212","-0.12561","-0.057422","-0.19021","0.12561","-0.0323","-0.194995"
